epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,144.183,1.0558,0.99187,0.99959,0.04664,0.000151577,0.000151577,0.000151577
2,279.068,0.16147,0.99851,0.99983,0.00701,0.000273223,0.000273223,0.000273223
3,410.104,0.10594,0.99809,1,0.007,0.000364838,0.000364838,0.000364838
4,539.368,0.07648,0.99909,1,0.00371,0.000319865,0.000319865,0.000319865
5,669.536,0.0525,0.99959,1,0.00136,0.00027482,0.00027482,0.00027482
6,798.986,0.03975,0.99992,1,0.00072,0.000229775,0.000229775,0.000229775
7,928.661,0.02902,1,1,0.00029,0.00018473,0.00018473,0.00018473
8,1059.02,0.02086,1,1,0.0001,0.000139685,0.000139685,0.000139685
9,1189.72,0.01623,1,1,9e-05,9.464e-05,9.464e-05,9.464e-05
10,1319.51,0.01283,1,1,6e-05,4.9595e-05,4.9595e-05,4.9595e-05
