epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,57.4708,2.80132,0.57106,0.88028,1.85893,8.28901e-05,8.28901e-05,8.28901e-05
2,105.021,2.07718,0.6615,0.9199,1.29455,0.000149767,0.000149767,0.000149767
3,151.505,1.72319,0.72868,0.95349,0.98749,0.000200145,0.000200145,0.000200145
4,199.829,1.46411,0.76227,0.95349,0.84723,0.00017575,0.00017575,0.00017575
5,252.195,1.33429,0.78295,0.96296,0.75353,0.000151,0.000151,0.000151
6,310.685,1.23156,0.79845,0.96899,0.68906,0.00012625,0.00012625,0.00012625
7,367.908,1.1413,0.81137,0.97588,0.63465,0.0001015,0.0001015,0.0001015
8,425.234,1.0889,0.81912,0.97416,0.6123,7.675e-05,7.675e-05,7.675e-05
9,477.339,1.0608,0.82084,0.97761,0.58137,5.2e-05,5.2e-05,5.2e-05
10,529.015,1.02742,0.83032,0.97588,0.59176,2.725e-05,2.725e-05,2.725e-05
