epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,83.5578,1.16737,0.98807,0.99932,0.05395,0.00015153,0.00015153,0.00015153
2,148.364,0.1833,0.99752,1,0.01081,0.00027318,0.00027318,0.00027318
3,212.226,0.11892,0.9982,1,0.01137,0.0003648,0.0003648,0.0003648
4,274.671,0.09167,0.99775,1,0.00645,0.000319865,0.000319865,0.000319865
5,339.502,0.05963,0.99865,1,0.00533,0.00027482,0.00027482,0.00027482
6,405.361,0.04274,0.99865,1,0.00607,0.000229775,0.000229775,0.000229775
7,472.099,0.0326,0.9991,1,0.00296,0.00018473,0.00018473,0.00018473
8,540.032,0.02878,0.99865,1,0.00553,0.000139685,0.000139685,0.000139685
9,604.408,0.02069,0.99932,1,0.004,9.464e-05,9.464e-05,9.464e-05
10,669.183,0.01275,0.99887,1,0.00559,4.9595e-05,4.9595e-05,4.9595e-05
